participantIdFrom,participantIdTo,weekday,weight
0,226,Sunday,3
0,226,Monday,3
0,226,Tuesday,2
0,226,Wednesday,2
0,226,Thursday,2
0,226,Friday,2
0,226,Saturday,2
0,644,Sunday,3
0,644,Monday,2
0,644,Tuesday,2
0,644,Wednesday,2
0,644,Thursday,2
0,644,Friday,2
0,644,Saturday,2
1,59,Sunday,3
1,59,Monday,4
1,59,Tuesday,4
1,59,Wednesday,4
1,59,Thursday,4
1,59,Friday,3
1,59,Saturday,3
1,844,Sunday,4
1,844,Monday,4
1,844,Tuesday,4
1,844,Wednesday,4
1,844,Thursday,5
1,844,Friday,4
1,844,Saturday,4
1,951,Sunday,2
1,951,Monday,2
1,951,Tuesday,2
1,951,Friday,2
1,951,Saturday,2
1,980,Sunday,2
1,980,Monday,2
1,980,Tuesday,2
1,980,Wednesday,3
1,980,Thursday,3
1,980,Friday,2
1,980,Saturday,2
2,41,Sunday,3
2,41,Monday,3
2,41,Tuesday,3
2,41,Wednesday,3
2,41,Thursday,3
2,41,Friday,2
2,41,Saturday,3
2,51,Sunday,2
2,51,Monday,2
2,51,Tuesday,2
2,51,Wednesday,2
2,51,Thursday,2
2,69,Sunday,3
2,69,Monday,3
2,69,Tuesday,3
2,69,Wednesday,3
2,69,Thursday,3
2,69,Saturday,2
2,73,Sunday,2
2,73,Monday,2
2,73,Tuesday,2
2,73,Wednesday,2
2,73,Thursday,2
2,176,Sunday,3
2,176,Monday,3
2,176,Tuesday,3
2,176,Wednesday,3
2,176,Thursday,3
2,176,Friday,2
2,176,Saturday,3
2,196,Sunday,4
2,196,Monday,4
2,196,Tuesday,4
2,196,Wednesday,3
2,196,Thursday,3
2,196,Friday,3
2,196,Saturday,2
2,197,Sunday,2
2,197,Monday,2
2,197,Tuesday,2
2,197,Wednesday,2
2,197,Thursday,2
2,218,Sunday,4
2,218,Monday,4
2,218,Tuesday,4
2,218,Wednesday,4
2,218,Thursday,5
2,218,Friday,4
2,218,Saturday,4
2,220,Sunday,2
2,220,Monday,2
2,220,Tuesday,2
2,220,Wednesday,2
2,220,Thursday,2
2,281,Sunday,2
2,281,Monday,2
2,281,Tuesday,2
2,281,Wednesday,2
2,281,Thursday,2
2,281,Saturday,2
2,914,Sunday,2
2,914,Monday,2
2,914,Tuesday,2
2,914,Wednesday,2
2,914,Thursday,2
3,34,Sunday,3
3,34,Monday,3
3,34,Tuesday,3
3,34,Wednesday,3
3,34,Thursday,3
3,34,Friday,2
3,34,Saturday,3
3,136,Sunday,3
3,136,Monday,3
3,136,Tuesday,3
3,136,Wednesday,3
3,136,Thursday,3
3,136,Friday,2
3,136,Saturday,3
3,227,Sunday,2
3,227,Monday,2
3,227,Wednesday,2
3,227,Thursday,2
3,227,Friday,2
3,227,Saturday,2
3,385,Sunday,2
3,385,Monday,2
3,385,Tuesday,2
3,385,Wednesday,3
3,385,Thursday,3
3,385,Friday,2
3,385,Saturday,2
3,511,Sunday,3
3,511,Monday,3
3,511,Tuesday,2
3,511,Wednesday,2
3,511,Thursday,2
3,511,Friday,2
3,511,Saturday,2
3,719,Wednesday,2
3,719,Thursday,2
3,775,Sunday,3
3,775,Monday,3
3,775,Tuesday,3
3,775,Wednesday,3
3,775,Thursday,3
3,775,Friday,3
3,775,Saturday,3
3,953,Sunday,2
3,953,Monday,2
3,953,Tuesday,2
3,953,Wednesday,3
3,953,Thursday,3
3,953,Friday,2
3,953,Saturday,2
4,65,Sunday,3
4,65,Monday,3
4,65,Tuesday,3
4,65,Wednesday,3
4,65,Thursday,3
4,65,Friday,3
4,65,Saturday,3
4,97,Sunday,2
4,97,Monday,2
4,97,Tuesday,2
4,97,Wednesday,2
4,97,Thursday,2
4,97,Friday,2
4,97,Saturday,2
4,129,Sunday,2
4,129,Monday,2
4,129,Tuesday,2
4,129,Wednesday,2
4,129,Thursday,2
4,129,Friday,2
4,129,Saturday,2
4,130,Sunday,2
4,130,Monday,2
4,130,Tuesday,2
4,130,Wednesday,2
4,130,Thursday,2
4,130,Friday,2
4,130,Saturday,2
4,137,Sunday,3
4,137,Monday,3
4,137,Tuesday,3
4,137,Wednesday,3
4,137,Thursday,3
4,137,Friday,3
4,137,Saturday,3
4,147,Monday,2
4,147,Tuesday,2
4,147,Wednesday,2
4,147,Thursday,2
4,172,Sunday,2
4,172,Monday,2
4,172,Tuesday,2
4,583,Thursday,2
4,672,Thursday,2
4,798,Thursday,2
4,970,Sunday,2
4,970,Monday,2
4,970,Tuesday,2
4,970,Wednesday,2
4,970,Thursday,2
4,970,Friday,2
4,970,Saturday,2
4,999,Sunday,2
4,999,Monday,2
4,999,Tuesday,2
4,999,Wednesday,2
4,999,Thursday,3
4,999,Friday,2
4,999,Saturday,2
5,6,Wednesday,2
5,6,Thursday,2
5,10,Sunday,2
5,10,Monday,2
5,10,Tuesday,2
5,10,Wednesday,2
5,10,Thursday,2
5,13,Sunday,3
5,13,Monday,4
5,13,Tuesday,4
5,13,Wednesday,4
5,13,Thursday,4
5,13,Friday,3
5,13,Saturday,3
5,34,Sunday,3
5,34,Monday,4
5,34,Tuesday,4
5,34,Wednesday,4
5,34,Thursday,4
5,34,Friday,3
5,34,Saturday,3
5,57,Wednesday,2
5,57,Thursday,2
5,81,Sunday,3
5,81,Monday,4
5,81,Tuesday,4
5,81,Wednesday,4
5,81,Thursday,4
5,81,Friday,3
5,81,Saturday,3
5,82,Sunday,2
5,82,Monday,2
5,82,Tuesday,2
5,82,Wednesday,2
5,82,Thursday,2
5,94,Sunday,4
5,94,Monday,4
5,94,Tuesday,4
5,94,Wednesday,5
5,94,Thursday,5
5,94,Friday,4
5,94,Saturday,4
5,96,Sunday,4
5,96,Monday,4
5,96,Tuesday,4
5,96,Wednesday,4
5,96,Thursday,5
5,96,Friday,4
5,96,Saturday,4
5,126,Sunday,2
5,126,Monday,2
5,126,Tuesday,2
5,126,Wednesday,2
5,126,Thursday,2
5,131,Sunday,2
5,131,Monday,2
5,131,Tuesday,2
5,131,Wednesday,2
5,131,Thursday,2
5,134,Sunday,2
5,134,Monday,2
5,134,Tuesday,2
5,136,Sunday,3
5,136,Monday,3
5,136,Tuesday,3
5,136,Wednesday,3
5,136,Thursday,4
5,136,Friday,3
5,136,Saturday,3
5,190,Sunday,4
5,190,Monday,4
5,190,Tuesday,4
5,190,Wednesday,4
5,190,Thursday,4
5,190,Friday,3
5,190,Saturday,3
5,221,Wednesday,2
5,221,Thursday,2
5,240,Sunday,2
5,240,Monday,2
5,240,Tuesday,2
5,240,Wednesday,2
5,240,Thursday,2
5,654,Wednesday,2
5,654,Thursday,2
5,821,Sunday,3
5,821,Monday,3
5,821,Tuesday,2
5,821,Wednesday,2
5,821,Thursday,2
5,821,Friday,2
5,821,Saturday,2
5,1000,Sunday,4
5,1000,Monday,4
5,1000,Tuesday,4
5,1000,Wednesday,4
5,1000,Thursday,4
5,1000,Friday,3
5,1000,Saturday,4
6,5,Wednesday,2
6,5,Thursday,2
6,13,Wednesday,2
6,13,Thursday,2
6,30,Wednesday,2
6,30,Thursday,2
6,57,Wednesday,2
6,57,Thursday,2
6,67,Sunday,2
6,67,Monday,2
6,67,Tuesday,2
6,67,Wednesday,2
6,67,Thursday,2
6,94,Wednesday,2
6,94,Thursday,2
6,131,Sunday,2
6,131,Monday,2
6,131,Tuesday,2
6,131,Wednesday,3
6,131,Thursday,3
6,131,Friday,2
6,131,Saturday,2
6,139,Sunday,3
6,139,Monday,3
6,139,Tuesday,3
6,139,Wednesday,3
6,139,Thursday,3
6,139,Friday,2
6,139,Saturday,3
6,146,Sunday,2
6,146,Monday,2
6,146,Tuesday,2
6,146,Wednesday,3
6,146,Thursday,3
6,146,Friday,3
6,146,Saturday,2
6,165,Sunday,2
6,165,Monday,2
6,165,Tuesday,2
6,165,Wednesday,3
6,165,Thursday,2
6,165,Friday,2
6,165,Saturday,2
6,202,Sunday,4
6,202,Monday,4
6,202,Tuesday,4
6,202,Wednesday,4
6,202,Thursday,5
6,202,Friday,4
6,202,Saturday,4
6,221,Sunday,2
6,221,Monday,2
6,221,Tuesday,2
6,221,Wednesday,3
6,221,Thursday,3
6,221,Friday,2
6,221,Saturday,2
6,239,Sunday,3
6,239,Monday,3
6,239,Tuesday,3
6,239,Wednesday,3
6,239,Thursday,3
6,239,Friday,2
6,239,Saturday,2
6,244,Sunday,4
6,244,Monday,4
6,244,Tuesday,4
6,244,Wednesday,5
6,244,Thursday,5
6,244,Friday,4
6,244,Saturday,4
6,551,Sunday,2
6,551,Monday,2
6,551,Tuesday,2
6,551,Wednesday,2
6,551,Thursday,2
6,551,Friday,2
6,551,Saturday,2
6,588,Sunday,2
6,588,Monday,2
6,588,Tuesday,2
6,588,Wednesday,3
6,588,Thursday,3
6,588,Friday,3
6,588,Saturday,3
6,654,Sunday,3
6,654,Monday,3
6,654,Tuesday,3
6,654,Wednesday,3
6,654,Thursday,3
6,654,Friday,2
6,654,Saturday,2
6,682,Sunday,2
6,682,Monday,2
6,682,Wednesday,2
6,682,Thursday,2
6,682,Friday,2
6,682,Saturday,2
6,810,Sunday,3
6,810,Monday,3
6,810,Tuesday,2
6,810,Wednesday,2
6,810,Thursday,2
6,810,Friday,2
6,810,Saturday,2
6,973,Sunday,4
6,973,Monday,4
6,973,Tuesday,4
6,973,Wednesday,4
6,973,Thursday,4
6,973,Friday,3
6,973,Saturday,3
7,64,Sunday,4
7,64,Monday,4
7,64,Tuesday,4
7,64,Wednesday,5
7,64,Thursday,5
7,64,Friday,4
7,64,Saturday,4
7,66,Thursday,2
7,77,Sunday,3
7,77,Monday,4
7,77,Tuesday,3
7,77,Wednesday,3
7,77,Thursday,4
7,77,Friday,3
7,77,Saturday,3
7,96,Thursday,2
7,173,Monday,2
7,173,Tuesday,2
7,173,Wednesday,2
7,173,Thursday,2
7,182,Sunday,3
7,182,Monday,3
7,182,Tuesday,3
7,182,Wednesday,3
7,182,Thursday,3
7,182,Friday,2
7,182,Saturday,2
7,207,Sunday,3
7,207,Monday,3
7,207,Tuesday,2
7,207,Wednesday,2
7,207,Thursday,2
7,207,Friday,2
7,207,Saturday,2
7,312,Sunday,2
7,312,Monday,3
7,312,Tuesday,3
7,312,Wednesday,3
7,312,Thursday,3
7,312,Friday,2
7,312,Saturday,2
7,620,Thursday,2
7,625,Sunday,2
7,625,Monday,3
7,625,Tuesday,3
7,625,Wednesday,3
7,625,Thursday,3
7,625,Friday,2
7,625,Saturday,2
7,683,Sunday,3
7,683,Monday,4
7,683,Tuesday,4
7,683,Wednesday,4
7,683,Thursday,3
7,683,Friday,3
7,683,Saturday,3
8,9,Sunday,4
8,9,Monday,4
8,9,Tuesday,4
8,9,Wednesday,5
8,9,Thursday,5
8,9,Friday,4
8,9,Saturday,4
8,14,Sunday,3
8,14,Monday,3
8,14,Tuesday,3
8,14,Wednesday,3
8,14,Thursday,3
8,14,Friday,2
8,14,Saturday,2
8,20,Thursday,2
8,20,Friday,2
8,20,Saturday,2
8,51,Sunday,4
8,51,Monday,4
8,51,Tuesday,4
8,51,Wednesday,5
8,51,Thursday,5
8,51,Friday,4
8,51,Saturday,4
8,56,Sunday,2
8,56,Monday,2
8,56,Tuesday,2
8,56,Wednesday,2
8,56,Thursday,2
8,80,Sunday,3
8,80,Monday,3
8,80,Tuesday,3
8,80,Wednesday,3
8,80,Thursday,3
8,80,Friday,2
8,80,Saturday,2
8,107,Sunday,2
8,107,Monday,2
8,107,Tuesday,2
8,107,Wednesday,2
8,107,Thursday,2
8,119,Sunday,2
8,119,Monday,2
8,119,Tuesday,2
8,119,Wednesday,2
8,119,Thursday,2
8,121,Sunday,3
8,121,Monday,3
8,121,Tuesday,3
8,121,Wednesday,2
8,121,Thursday,2
8,121,Friday,2
8,121,Saturday,2
8,128,Sunday,4
8,128,Monday,4
8,128,Tuesday,4
8,128,Wednesday,4
8,128,Thursday,4
8,128,Friday,3
8,128,Saturday,3
8,137,Sunday,2
8,137,Monday,2
8,137,Tuesday,2
8,137,Wednesday,3
8,137,Thursday,3
8,137,Friday,2
8,137,Saturday,2
8,164,Sunday,4
8,164,Monday,4
8,164,Tuesday,4
8,164,Wednesday,5
8,164,Thursday,5
8,164,Friday,4
8,164,Saturday,4
8,191,Sunday,4
8,191,Monday,4
8,191,Tuesday,4
8,191,Wednesday,4
8,191,Thursday,4
8,191,Friday,3
8,191,Saturday,3
8,196,Sunday,2
8,196,Monday,2
8,196,Tuesday,2
8,196,Wednesday,2
8,196,Thursday,2
8,222,Sunday,3
8,222,Monday,3
8,222,Tuesday,3
8,222,Wednesday,3
8,222,Thursday,3
8,222,Friday,2
8,222,Saturday,2
8,250,Sunday,2
8,250,Monday,2
8,250,Tuesday,2
8,250,Thursday,2
8,914,Sunday,2
8,914,Monday,2
8,914,Tuesday,2
8,914,Wednesday,2
8,914,Thursday,2
9,8,Sunday,4
9,8,Monday,4
9,8,Tuesday,4
9,8,Wednesday,5
9,8,Thursday,5
9,8,Friday,4
9,8,Saturday,4
9,14,Monday,2
9,14,Tuesday,2
9,14,Wednesday,2
9,14,Thursday,2
9,51,Sunday,3
9,51,Monday,3
9,51,Tuesday,3
9,51,Wednesday,3
9,51,Thursday,3
9,51,Friday,3
9,51,Saturday,3
9,71,Sunday,2
9,71,Monday,2
9,71,Tuesday,2
9,71,Wednesday,2
9,71,Thursday,3
9,71,Friday,2
9,71,Saturday,2
9,91,Sunday,2
9,91,Monday,2
9,91,Tuesday,2
9,91,Wednesday,2
9,91,Thursday,3
9,91,Friday,2
9,91,Saturday,2
9,121,Sunday,4
9,121,Monday,4
9,121,Tuesday,4
9,121,Wednesday,4
9,121,Thursday,4
9,121,Friday,3
9,121,Saturday,3
9,128,Sunday,4
9,128,Monday,4
9,128,Tuesday,4
9,128,Wednesday,4
9,128,Thursday,4
9,128,Friday,3
9,128,Saturday,3
9,137,Sunday,3
9,137,Monday,3
9,137,Tuesday,3
9,137,Wednesday,4
9,137,Thursday,3
9,137,Friday,3
9,137,Saturday,3
9,138,Monday,2
9,138,Tuesday,2
9,138,Wednesday,2
9,138,Thursday,2
9,141,Sunday,2
9,141,Monday,2
9,141,Tuesday,2
9,141,Wednesday,2
9,141,Thursday,3
9,141,Friday,2
9,141,Saturday,2
9,164,Sunday,3
9,164,Monday,3
9,164,Tuesday,4
9,164,Wednesday,3
9,164,Thursday,4
9,164,Friday,3
9,164,Saturday,2
9,191,Sunday,2
9,191,Monday,2
9,191,Tuesday,2
9,191,Wednesday,2
9,191,Thursday,3
9,191,Friday,2
9,191,Saturday,2
10,5,Sunday,2
10,5,Monday,2
10,5,Tuesday,2
10,5,Wednesday,2
10,5,Thursday,2
10,19,Sunday,4
10,19,Monday,4
10,19,Tuesday,4
10,19,Wednesday,4
10,19,Thursday,4
10,19,Friday,3
10,19,Saturday,4
10,62,Sunday,3
10,62,Monday,2
10,62,Tuesday,2
10,62,Wednesday,2
10,62,Thursday,2
10,62,Friday,2
10,62,Saturday,3
10,81,Sunday,2
10,81,Monday,2
10,81,Tuesday,2
10,81,Wednesday,3
10,81,Thursday,3
10,81,Friday,2
10,81,Saturday,2
10,82,Sunday,2
10,82,Monday,2
10,82,Tuesday,2
10,82,Wednesday,2
10,82,Thursday,2
10,94,Sunday,4
10,94,Monday,4
10,94,Tuesday,4
10,94,Wednesday,4
10,94,Thursday,4
10,94,Friday,3
10,94,Saturday,2
10,96,Sunday,4
10,96,Monday,4
10,96,Tuesday,4
10,96,Wednesday,4
10,96,Thursday,4
10,96,Friday,4
10,96,Saturday,4
10,126,Sunday,2
10,126,Monday,2
10,126,Tuesday,2
10,126,Wednesday,2
10,126,Thursday,2
10,131,Sunday,2
10,131,Monday,2
10,131,Tuesday,2
10,131,Wednesday,3
10,131,Thursday,3
10,131,Friday,2
10,131,Saturday,2
10,134,Sunday,2
10,134,Monday,2
10,134,Tuesday,2
10,134,Wednesday,2
10,134,Thursday,2
10,136,Sunday,2
10,136,Monday,2
10,136,Tuesday,2
10,136,Wednesday,2
10,136,Thursday,2
10,167,Sunday,2
10,167,Monday,2
10,167,Tuesday,2
10,167,Wednesday,2
10,167,Thursday,2
10,240,Sunday,2
10,240,Monday,2
10,240,Tuesday,2
10,240,Wednesday,2
10,240,Thursday,2
10,626,Sunday,4
10,626,Monday,4
10,626,Tuesday,4
10,626,Wednesday,4
10,626,Thursday,4
10,626,Friday,4
10,626,Saturday,4
10,882,Sunday,2
10,882,Monday,2
10,882,Tuesday,2
10,882,Wednesday,2
10,882,Thursday,2
10,993,Sunday,2
10,993,Monday,2
10,993,Tuesday,2
10,993,Wednesday,2
10,993,Thursday,2
10,1000,Sunday,2
10,1000,Monday,2
10,1000,Tuesday,2
10,1000,Wednesday,2
10,1000,Thursday,2
10,1000,Friday,2
10,1000,Saturday,3
11,447,Monday,2
11,447,Tuesday,2
11,447,Wednesday,2
11,447,Thursday,2
11,578,Sunday,4
11,578,Monday,4
11,578,Tuesday,4
11,578,Wednesday,4
11,578,Thursday,4
11,578,Friday,4
11,578,Saturday,4
11,719,Sunday,3
11,719,Monday,4
11,719,Tuesday,4
11,719,Wednesday,4
11,719,Thursday,4
11,719,Friday,3
11,719,Saturday,3
12,261,Sunday,3
12,261,Monday,3
12,261,Tuesday,4
12,261,Wednesday,4
12,261,Thursday,4
12,261,Friday,3
12,261,Saturday,3
12,378,Sunday,2
12,378,Monday,2
12,378,Tuesday,3
12,378,Wednesday,3
12,378,Thursday,3
12,378,Friday,2
12,378,Saturday,2
12,516,Thursday,2
12,520,Sunday,2
12,520,Monday,2
12,520,Tuesday,2
12,520,Wednesday,2
12,520,Thursday,2
12,520,Friday,2
12,520,Saturday,2
12,531,Sunday,4
12,531,Monday,4
12,531,Tuesday,4
12,531,Wednesday,4
12,531,Thursday,5
12,531,Friday,4
12,531,Saturday,4
12,581,Thursday,2
12,685,Sunday,2
12,685,Monday,2
12,685,Tuesday,3
12,685,Wednesday,2
12,685,Thursday,2
12,685,Friday,2
12,685,Saturday,2
12,697,Sunday,2
12,697,Monday,2
12,697,Tuesday,3
12,697,Wednesday,3
12,697,Thursday,3
12,697,Friday,2
12,697,Saturday,2
12,734,Sunday,2
12,734,Monday,2
12,734,Tuesday,3
12,734,Wednesday,3
12,734,Thursday,3
12,734,Friday,2
12,734,Saturday,2
12,797,Sunday,2
12,797,Monday,2
12,797,Wednesday,2
12,797,Thursday,3
12,797,Friday,2
12,797,Saturday,2
12,890,Sunday,4
12,890,Monday,4
12,890,Tuesday,4
12,890,Wednesday,4
12,890,Thursday,4
12,890,Friday,4
12,890,Saturday,4
12,996,Sunday,2
12,996,Monday,2
12,996,Tuesday,2
12,996,Wednesday,2
12,996,Friday,2
12,996,Saturday,2
13,5,Sunday,3
13,5,Monday,4
13,5,Tuesday,4
13,5,Wednesday,4
13,5,Thursday,4
13,5,Friday,3
13,5,Saturday,3
13,6,Wednesday,2
13,6,Thursday,2
13,34,Sunday,2
13,34,Monday,2
13,34,Tuesday,2
13,34,Wednesday,2
13,34,Thursday,2
13,34,Friday,2
13,34,Saturday,2
13,52,Sunday,2
13,52,Monday,2
13,52,Tuesday,2
13,52,Wednesday,2
13,52,Thursday,2
13,81,Sunday,3
13,81,Monday,3
13,81,Tuesday,3
13,81,Wednesday,4
13,81,Thursday,4
13,81,Friday,4
13,81,Saturday,4
13,94,Sunday,2
13,94,Monday,2
13,94,Tuesday,2
13,94,Wednesday,2
13,94,Thursday,2
13,94,Friday,2
13,94,Saturday,2
13,131,Sunday,4
13,131,Monday,4
13,131,Tuesday,4
13,131,Wednesday,4
13,131,Thursday,4
13,131,Friday,4
13,131,Saturday,4
13,165,Sunday,4
13,165,Monday,4
13,165,Tuesday,4
13,165,Wednesday,5
13,165,Thursday,5
13,165,Friday,4
13,165,Saturday,4
13,190,Sunday,2
13,190,Monday,2
13,190,Tuesday,2
13,190,Wednesday,2
13,190,Thursday,2
13,190,Friday,2
13,190,Saturday,2
13,221,Sunday,3
13,221,Monday,3
13,221,Tuesday,3
13,221,Wednesday,5
13,221,Thursday,4
13,221,Friday,3
13,221,Saturday,3
13,918,Sunday,2
13,918,Monday,2
13,918,Tuesday,2
13,918,Wednesday,3
13,918,Thursday,3
13,918,Friday,3
13,918,Saturday,2
13,952,Sunday,2
13,952,Monday,2
13,952,Tuesday,2
13,952,Wednesday,2
13,952,Thursday,2
13,952,Friday,3
13,952,Saturday,2
13,993,Sunday,2
13,993,Monday,2
13,993,Tuesday,2
13,993,Wednesday,2
13,993,Thursday,2
14,8,Sunday,3
14,8,Monday,3
14,8,Tuesday,3
14,8,Wednesday,3
14,8,Thursday,3
14,8,Friday,2
14,8,Saturday,2
14,9,Monday,2
14,9,Tuesday,2
14,9,Wednesday,2
14,9,Thursday,2
14,18,Sunday,3
14,18,Monday,3
14,18,Tuesday,2
14,18,Wednesday,2
14,18,Thursday,2
14,18,Friday,2
14,18,Saturday,2
14,20,Sunday,2
14,20,Monday,2
14,20,Tuesday,2
14,20,Wednesday,2
14,20,Thursday,2
14,20,Friday,2
14,20,Saturday,2
14,40,Monday,2
14,40,Tuesday,2
14,40,Wednesday,2
14,40,Thursday,2
14,71,Sunday,4
14,71,Monday,4
14,71,Tuesday,4
14,71,Wednesday,5
14,71,Thursday,5
14,71,Friday,4
14,71,Saturday,4
14,113,Sunday,2
